fid,dc
20487,532
20488,532
20489,532
20490,532
20491,532
20492,515
20493,516
20494,534
20495,534
20496,534
20497,534
20498,534
20499,502
20500,502
20501,502
20502,502
20503,502
20504,503
20505,504
20506,504
20507,504
20508,504
20509,504
20510,504
20511,504
20512,504
20513,504
20514,504
20515,504
20516,504
20517,504
20518,504
20519,504
20520,504
20521,532
20522,532
20523,532
20524,532
20525,532
20526,533
20527,533
20528,533
20529,533
20530,533
20531,533
20532,502
20533,508
20534,508
20535,508
20536,507
20537,519
20538,502
20539,519
20540,502
20541,502
20542,502
20543,518
20544,1401
20546,1405
20547,1406
20548,1407
20549,1405
20550,1406
20551,1414
20552,1415
20553,1422
20554,1423
20600,96
20601,96
20602,96
20603,96
20604,96
20605,96
20606,96
20607,96
20608,96
20609,96
20610,96
20611,96
20613,96
20614,96
20615,96
20616,96
20617,96
20618,96
20619,96
20620,96
20621,96
20622,96
20623,96
20624,96
20625,96
20626,96
20627,96
20628,96
20629,96
20630,96
20631,96
20632,96
20633,96
20634,96
20635,96
20636,96
20637,96
20638,96
20639,96
20640,96
20641,96
20642,96
20643,96
20644,96
20645,96
20646,96
20647,96
20648,96
20649,96
20650,96
20651,96
20652,96
20653,96
20654,96
20655,96
20656,96
20657,96
20658,96
20659,96
20660,96
20661,96
20662,96
20663,96
20664,96
20665,96
20666,96
20667,96
20668,96
20669,96
20670,96
20671,96
20672,96
20673,96
20674,96
20675,96
20676,96
20677,96
20678,96
20679,96
20680,96
20681,96
20682,96
20683,96
20684,96
20685,96
20686,96
20687,96
20688,96
20689,96
20690,96
20691,96
20692,96
20693,96
20694,96
20695,96
20696,96
20697,96
20698,96
20699,96
20700,96
20701,96
20702,96
20703,96
20704,96
20705,96
20706,96
20707,96
20708,96
20709,96
20710,96
20711,96
20712,96
20713,96
20714,96
20715,96
20716,96
20717,96
20718,96
20719,96
20720,96
20721,96
20722,96
20723,96
20724,96
20725,96
20726,96
20727,96
20728,96
20729,96
20730,96
20731,96
20732,96
20733,96
20734,96
20735,96
20736,96
20737,96
20738,96
20739,96
20740,96
20741,96
20742,96
20743,96
20744,96
20745,96
20746,96
20747,96
20748,96
20749,96
21000,1001
21024,502
21025,871
21026,1022
21027,503
21028,950
21029,950
21030,950
21031,950
21032,950
21033,950
21034,950
21035,503
21036,408
21037,913
21038,503
21039,620
21040,616
21041,548
21048,339
21049,339
21050,1018
21051,339
21052,339
21053,339
21054,339
21055,339
21056,339
21057,1018
21058,339
21059,339
21060,339
21061,339
21062,503
21063,503
21064,502
21065,502
21066,502
21067,502
21068,502
21069,1862
21070,2730
21071,503
21072,7310
21073,503
21074,503
21075,1021
21076,503
21100,1180
21101,1181
21102,1182
21164,1
21711,123
21721,123
21722,123
21723,123
21725,123
21731,123
21732,123
21733,123
21734,123
21736,123
21738,123
21741,123
21742,123
21751,123
21761,123
21762,123
21763,123
21764,123
21765,123
21766,123
21771,123
22000,22000
22001,9
22006,1002
22010,1101
22018,947
22019,1
22020,1
22021,682
22027,1
22028,100264
22029,100264
22030,100264
22032,100700
22035,7
22036,7
22051,100
22052,101
22126,7
22127,7
22128,7
22129,7
22130,7
22131,7
22132,7
22133,7
22134,7
22135,7
22136,7
22137,7
22138,7
22139,7
22140,7
22141,7
22166,7
22167,7
22168,7
22169,7
22170,7
22171,7
22172,7
22173,7
22174,7
22175,7
22176,7
22177,7
22178,7
22179,7
22180,7
22181,7
22499,480
22502,7
22504,7
22506,496
22601,497
22604,494
22606,493
22607,493
22608,493
22609,493
22610,493
22611,493
22612,493
22613,493
22614,493
22615,493
22616,7
22617,2
22618,7
22619,7
22620,7
22630,489
22640,489
22650,489
22660,486
