fid,dc
131445,2171
131447,2171
131449,2171
131451,2171
131453,2171
131455,2171
131457,2171
131459,2171
131461,2171
131463,2171
131465,2171
131467,2171
131469,2171
131471,2171
131473,2171
131475,2171
131477,2171
131479,2171
131481,2171
131483,2171
131485,2171
131487,2171
131489,2171
131491,2171
131493,2171
131495,2171
131497,2171
131499,2171
131501,2171
131503,2171
131505,2171
131507,2171
131509,2171
131513,2171
131515,2171
131517,2171
131519,2171
131521,2171
131523,2171
131525,2171
131527,2171
131529,2171
131531,2171
131533,2171
131535,2171
131537,2171
131539,2171
131541,2171
131543,2171
131545,2171
131547,2171
131549,2171
131551,2171
131553,2171
131555,2171
131557,2171
131559,2171
131561,2171
131563,2171
131565,2171
131567,2171
131569,2171
131571,2171
131573,2171
131575,2171
131577,2171
131579,2171
131581,2171
131583,2171
131585,2171
131587,2171
131589,2171
131591,2171
131593,2171
131595,2171
131597,2171
131599,2171
131601,2171
131603,2171
131605,2171
131607,2171
131609,2171
131611,2171
131613,2171
131615,2171
131617,2171
131619,2171
131621,2171
131623,2171
131625,2171
131627,2171
131629,2171
131631,2171
131633,2171
131635,2171
131637,2171
131639,2171
131641,2171
131643,2171
131645,2171
131647,2171
131649,2171
131651,2171
131653,2171
131655,2171
131657,2171
131659,2171
131661,2171
131663,2171
131665,2171
131667,2171
131669,2171
131671,2171
131673,2171
131675,2171
131677,2171
131679,2171
131681,2171
131683,2171
131685,2171
131687,2171
131689,2171
131691,2171
131693,2171
131695,2171
131697,2171
131699,2171
131701,2171
131703,2171
131705,2171
131707,2171
131709,2171
131711,2171
131713,2171
131715,2171
131717,2171
131719,2171
131721,2171
131723,2171
131725,2171
131727,2171
131729,2171
131731,2171
131733,2171
131735,2171
131737,2171
131739,2171
131741,2171
131743,2171
131745,2171
131747,2171
131749,2171
131751,2171
131755,2171
131757,2171
131759,2171
131761,2171
131763,2171
131765,2171
131767,2171
131769,2171
131771,2171
131773,2171
131775,2171
131777,2171
131779,2171
131781,2171
131783,2171
131785,2171
131787,2171
131789,2171
131791,2171
131793,2171
131795,2171
131797,2171
131799,2171
131801,2171
131803,2171
131805,2171
131807,2171
131809,2171
131811,2171
131813,2171
131815,2171
131817,2171
131819,2171
131821,2171
131823,2171
131825,2171
131827,2171
131829,2171
131831,2171
131833,2171
131835,2171
131837,2171
131839,2171
131841,2171
131843,2171
131845,2171
131847,2171
131849,2171
131851,2171
131853,2171
131855,2171
131857,2171
131859,2171
131861,2171
131863,2171
131865,2171
131867,2171
131869,2171
131871,2171
131873,2171
131875,2171
131877,2171
131879,2171
131881,2171
131883,2171
131885,2171
131887,2171
131889,2171
131891,2171
131893,2171
131895,2171
131897,2171
131899,2171
131901,2171
131903,2171
131905,2171
131907,2171
131909,2171
131911,2171
131913,2171
131915,2171
131917,2171
131919,2171
131921,2171
131923,2171
131925,2171
131927,2171
131929,2171
131931,2171
131933,2171
131935,2171
131937,2171
131939,2171
131941,2171
131943,2171
131945,2171
131947,2171
131949,2171
131951,2171
131953,2171
131955,2171
131957,2171
131959,2171
131961,2171
131963,2171
131965,2171
131967,2171
131969,2171
131971,2171
131973,2171
131975,2171
131977,2171
131979,2171
131981,2171
131983,2171
131985,2171
131987,2171
131989,2171
131991,2171
131993,2171
131995,2171
131997,2171
131999,2171
132001,2171
132003,2171
132005,2171
132007,2171
132009,2171
132011,2171
132013,2171
132015,2171
132017,2171
132019,2171
132021,2171
132023,2171
132025,2171
132027,2171
132029,2171
132031,2171
132033,2171
132035,2171
132037,2171
132039,2171
132041,2171
132043,2171
132045,2171
132047,2171
132049,2171
132051,2171
132053,2171
132055,2171
132057,2171
132059,2171
132061,2171
132063,2171
132065,2171
132067,2171
132069,2171
132071,2171
132073,2171
132075,2171
132077,2171
132079,2171
132081,2171
132083,2171
132085,2171
132087,2171
132089,2171
132091,2171
132093,2171
132095,2171
132097,2171
132099,2171
132101,2171
132103,2171
132105,2171
132107,2171
132109,2171
132111,2171
132113,2171
132115,2171
132117,2171
132119,2171
132121,2171
132123,2171
132125,2171
132127,2171
132129,2171
132131,2171
132135,2171
132137,2171
132139,2171
132141,2171
132143,2171
132145,2171
132147,2171
132149,2171
132151,2171
132153,2171
132155,2171
132157,2171
132159,2171
132161,2171
132163,2171
132165,2171
132167,2171
132169,2171
132171,2171
132173,2171
132175,2171
132177,2171
132179,2171
132181,2171
132183,2171
132185,2171
132187,2171
132189,2171
132191,2171
132193,2171
132195,2171
132197,2171
132199,2171
132201,2171
132203,2171
132205,2171
132207,2171
132209,2171
132211,2171
132213,2171
132215,2171
132217,2171
132219,2171
132221,2171
132223,2171
132225,2171
132227,2171
132229,2171
132231,2171
132233,2171
132235,2171
132237,2171
132239,2171
132241,2171
132243,2171
132245,2171
132247,2171
132249,2171
132251,2171
132253,2171
132255,2171
132257,2171
132259,2171
132261,2171
132263,2171
132265,2171
132267,2171
132269,2171
132271,2171
132273,2171
132275,2171
132277,2171
132279,2171
132281,2171
132283,2171
132285,2171
132287,2171
132289,2171
132291,2171
132293,2171
132295,2171
132297,2171
132299,2171
132301,2171
132303,2171
132307,2171
132311,2171
132313,2171
132315,2171
132319,2171
132321,2171
132323,2171
132325,2171
132327,2171
132329,2171
132331,2171
132333,2171
132335,2171
132337,2171
132339,2171
132341,2171
132343,2171
132345,2171
132347,2171
132349,2171
132351,2171
132353,2171
132355,2171
132357,2171
132359,2171
132361,2171
132363,2171
132365,2171
132367,2171
132369,2171
132371,2171
132373,2171
132375,2171
132377,2171
132379,2171
132381,2171
132383,2171
132389,2171
132391,2171
132395,2171
132397,2171
132399,2171
132411,2171
132417,2171
132421,2171
132423,2171
132427,2171
132429,2171
132431,2171
132433,2171
132435,2171
132437,2171
132439,2171
132441,2171
132443,2171
132445,2171
132447,2171
132449,2171
132451,2171
132453,2171
132455,2171
132457,2171
132459,2171
132461,2171
132463,2171
132465,2171
132467,2171
132469,2171
132471,2171
132473,2171
132475,2171
132477,2171
132479,2171
132481,2171
132483,2171
132485,2171
132487,2171
132489,2171
132491,2171
132493,2171
132495,2171
132497,2171
132499,2171
132501,2171
132503,2171
132505,2171
132507,2171
132509,2171
132511,2171
132513,2171
132515,2171
132517,2171
132519,2171
132521,2171
132523,2171
132525,2171
132527,2171
132529,2171
132531,2171
132533,2171
132535,2171
132537,2171
132539,2171
132541,2171
132543,2171
132545,2171
132547,2171
132549,2171
132551,2171
132553,2171
132555,2171
132557,2171
132559,2171
132561,2171
132563,2171
132565,2171
132567,2171
132569,2171
132571,2171
132573,2171
132575,2171
132577,2171
132579,2171
132581,2171
132583,2171
132585,2171
132587,2171
132589,2171
132591,2171
132593,2171
132595,2171
132597,2171
132599,2171
132601,2171
132603,2171
