coding	meaning
0	Test Plates (pilot)
1	Batch 01
2	Batch 02
3	Batch 03
4	Batch 04
5	Batch 05
6	Batch 06
7	Batch 07
8	Batch 08
9	Batch 09
10	Batch 10
11	Batch 11
12	Batch 12
13	Batch 13
14	Batch 14
15	Batch 15
16	Batch 16
17	Batch 17
50	Extra Batch
99	Vanguard
