coding	meaning
-3	Prefer not to answer
1	Personal vehicle on my own
2	Personal vehicle with other members of my household
3	Personal vehicle with someone who does not live in my household
4	Motorbike
5	Bus
6	Train
7	Tube (underground train)
8	Bicycle
9	Walked
10	Taxi/Uber
11	Other
